,INCOME,DEGREE,CHILDREN,PINCOME,PDEGREE,PCHILDREN,AGE
806,11,1,3,NaN,0,3,51
807,30,1,2,NaN,1,3,34
808,20,4,0,2,1,3,31
809,25,1,2,2,1,8,36
810,20,2,0,3,2,3,27
811,20,1,3,3,0,1,61
812,25,0,0,3,1,2,37
813,40,0,6,2,0,6,48
814,9,0,0,3,1,2,59
815,9,1,2,NaN,1,3,33
816,1,0,0,NaN,1,5,20
817,40,3,2,NaN,1,12,41
818,1,0,0,3,1,3,23
819,30,1,2,4,0,6,34
820,15,3,0,NaN,1,1,29
821,30,1,2,NaN,1,5,33
822,2,1,0,NaN,1,2,21
823,10,2,1,NaN,1,2,27
824,30,1,4,3,1,3,37
825,12,3,0,2,4,6,25
826,10,1,0,NaN,1,3,22
827,8,1,0,NaN,3,2,22
828,1,1,0,NaN,1,2,22
829,30,1,0,3,1,2,25
830,30,1,2,NaN,NaN,2,34
831,1,1,0,2,1,3,24
832,75,2,2,3,1,4,34
833,1,1,0,3,1,3,43
834,12,1,0,NaN,1,7,28
835,20,1,3,NaN,1,5,32
836,10,1,0,NaN,4,4,43
837,NaN,1,1,NaN,0,4,40
838,5,1,0,3,1,4,21
839,40,1,2,NaN,NaN,4,47
840,7,2,0,NaN,1,2,25
841,7,1,2,NaN,1,4,52
842,9,1,3,NaN,0,5,69
843,15,1,2,3,1,4,45
844,75,3,0,NaN,1,4,50
845,40,2,2,NaN,1,11,45
846,15,0,2,2,0,7,44
847,12,1,1,NaN,3,4,30
848,15,1,2,3,1,4,41
849,NaN,4,2,4,4,3,47
850,2,0,1,NaN,1,7,18
851,20,1,2,NaN,1,4,42
852,25,1,4,3,3,1,53
853,25,2,0,1,0,4,47
854,20,1,2,3,1,3,40
855,10,1,1,4,4,3,25
856,50,2,2,NaN,0,9,46
857,15,1,0,NaN,1,4,46
858,NaN,1,2,NaN,1,5,30
859,NaN,3,8,NaN,0,21,62
860,25,3,2,3,3,2,37
861,40,4,3,2,1,2,46
862,20,3,0,4,3,3,25
863,75,4,3,4,4,8,46
864,25,3,1,3,1,2,28
865,40,4,0,NaN,1,6,45
866,20,2,2,NaN,1,2,33
867,20,1,3,2,1,4,38
868,11,1,1,NaN,1,7,30
869,20,1,2,3,1,3,39
870,20,4,1,2,1,1,39
871,20,2,1,NaN,1,4,36
872,25,1,0,3,3,3,25
873,12,1,6,NaN,0,4,76
874,12,1,0,NaN,0,4,29
875,20,1,1,NaN,3,3,23
876,9,1,3,NaN,1,7,33
877,25,1,2,2,0,10,45
878,100,1,2,NaN,3,4,50
879,3,3,4,3,1,3,36
880,11,0,2,NaN,0,4,63
881,5,0,0,2,0,4,57
882,30,2,2,3,1,2,39
883,25,1,2,NaN,0,4,58
884,40,1,1,NaN,0,2,62
885,30,3,0,NaN,1,3,29
886,11,1,0,3,0,4,23
887,15,1,0,NaN,1,3,44
888,7,0,2,2,0,3,57
889,0,0,0,2,0,5,20
890,20,0,3,NaN,0,11,38
891,8,1,1,NaN,0,3,28
892,2,0,0,NaN,0,2,57
893,11,1,2,2,1,6,57
894,4,1,0,3,1,2,41
895,9,1,5,3,0,5,42
896,3,0,2,3,0,11,50
897,8,0,2,NaN,0,7,58
898,100,3,4,4,1,4,56
899,NaN,1,0,3,3,2,46
900,100,4,2,3,1,8,42
901,40,3,1,NaN,4,8,43
902,7,1,0,NaN,1,3,27
903,25,1,4,3,1,4,36
904,10,0,1,NaN,0,3,35
905,12,1,0,3,1,4,50
906,NaN,2,2,NaN,0,13,28
907,8,2,3,NaN,0,4,50
908,40,1,2,2,1,3,42
909,25,1,2,3,0,6,45
910,50,4,2,NaN,0,3,55
911,100,1,2,3,1,3,53
912,12,0,2,NaN,0,4,48
913,15,4,2,3,1,6,31
914,12,1,0,NaN,1,4,34
915,8,0,3,3,1,6,42
916,20,2,0,3,1,2,28
917,20,1,3,3,0,7,56
918,NaN,NaN,0,NaN,0,8,NaN
919,15,0,1,1,1,7,31
920,20,2,4,NaN,0,2,38
921,30,1,4,2,1,10,43
922,40,0,2,1,0,15,44
923,10,1,1,3,0,2,29
924,7,0,1,3,NaN,7,32
925,25,2,1,NaN,1,2,46
926,9,1,2,1,0,5,42
927,40,1,2,1,1,17,49
928,12,0,1,2,1,6,30
929,5,0,3,1,0,7,69
930,15,1,0,NaN,0,3,25
931,6,1,2,3,3,2,63
932,NaN,1,0,3,1,3,21
933,9,3,0,3,1,3,28
934,15,1,0,NaN,1,3,41
935,50,1,2,3,2,2,31
936,50,1,3,2,1,2,44
937,75,3,0,4,4,2,41
938,20,0,4,2,0,8,56
939,40,2,1,3,1,3,29
940,40,3,0,NaN,1,2,24
941,3,0,4,4,0,9,80
942,25,0,3,NaN,0,7,54
943,20,2,2,NaN,2,15,26
944,15,1,2,NaN,0,3,52
945,20,1,4,3,1,1,47
946,15,1,2,NaN,0,4,39
947,25,3,2,3,1,5,49
948,11,1,0,NaN,1,5,30
949,1,1,0,NaN,1,1,20
950,NaN,4,2,NaN,1,2,51
951,12,1,1,3,NaN,9,27
952,0,0,3,NaN,0,12,62
953,7,1,2,NaN,0,7,57
954,8,3,3,NaN,0,12,80
955,NaN,0,4,NaN,0,3,33
956,25,3,2,3,0,7,39
957,25,1,1,NaN,0,4,38
958,40,1,0,NaN,3,2,32
959,11,1,0,3,3,3,24
960,20,1,4,2,0,12,46
961,9,1,0,3,1,9,31
962,50,4,3,2,3,5,52
963,NaN,1,3,NaN,3,5,42
964,30,1,1,3,1,3,42
965,25,4,2,3,1,2,49
966,15,1,2,1,0,12,31
967,8,1,0,NaN,1,2,21
968,6,1,0,NaN,1,6,22
969,11,1,2,NaN,1,2,27
970,6,1,4,3,1,4,28
971,7,2,1,2,1,4,34
972,9,1,2,NaN,1,4,31
973,20,1,1,NaN,0,7,43
974,25,4,4,4,1,5,45
975,40,1,2,NaN,1,3,32
976,NaN,1,2,NaN,1,2,54
977,12,1,2,3,0,6,47
978,25,1,3,3,1,7,47
979,12,0,1,4,NaN,4,29
980,7,1,0,4,1,2,32
981,20,1,2,NaN,1,2,35
982,NaN,1,0,NaN,1,4,46
983,10,1,2,NaN,0,7,21
984,NaN,3,2,3,4,7,38
985,100,1,2,NaN,3,4,40
986,12,0,2,NaN,0,6,47
987,NaN,1,0,NaN,1,4,41
988,9,1,0,NaN,4,4,33
989,40,3,0,3,3,3,28
990,30,1,0,NaN,1,7,39
991,40,1,2,2,1,2,42
992,9,3,0,3,3,5,24
993,15,1,0,3,1,3,38
994,25,1,3,2,1,5,52
995,8,0,8,3,0,7,61
996,12,1,0,3,3,1,29
997,12,1,0,NaN,1,2,25
998,15,1,2,NaN,4,3,51
999,20,2,0,2,1,5,47
1000,NaN,3,3,3,1,9,50
1001,9,1,0,2,1,4,23
1002,20,2,1,NaN,1,4,30
